LS2_jazz.graph_0,3.191,160
LS2_jazz.graph_10,3.212,160
LS2_jazz.graph_20,3.224,160
LS2_jazz.graph_30,3.197,160
LS2_jazz.graph_40,3.177,160
LS2_jazz.graph_50,3.23,160
LS2_jazz.graph_60,3.196,160
LS2_jazz.graph_70,3.186,160
LS2_jazz.graph_80,3.183,160
LS2_jazz.graph_90,3.212,160
LS2_karate.graph_0,0.3186,14
LS2_karate.graph_10,0.3256,14
LS2_karate.graph_20,0.3159,14
LS2_karate.graph_30,0.3161,14
LS2_karate.graph_40,0.3307,14
LS2_karate.graph_50,0.3205,14
LS2_karate.graph_60,0.315,14
LS2_karate.graph_70,0.323,14
LS2_karate.graph_80,0.3188,14
LS2_karate.graph_90,0.3246,14
LS2_football.graph_0,1.023,96
LS2_football.graph_10,1.058,96
LS2_football.graph_20,1.016,96
LS2_football.graph_30,1.036,96
LS2_football.graph_40,1.005,96
LS2_football.graph_50,1.008,96
LS2_football.graph_60,1.023,96
LS2_football.graph_70,1.049,96
LS2_football.graph_80,1.06,96
LS2_football.graph_90,1.073,96
LS2_as-22july06.graph_0,53.12,3322
LS2_as-22july06.graph_10,53.68,3320
LS2_as-22july06.graph_20,53.65,3317
LS2_as-22july06.graph_30,54.71,3318
LS2_as-22july06.graph_40,56.39,3316
LS2_as-22july06.graph_50,55.07,3320
LS2_as-22july06.graph_60,52.98,3323
LS2_as-22july06.graph_70,52.36,3318
LS2_as-22july06.graph_80,52.93,3321
LS2_as-22july06.graph_90,52.35,3318
LS2_hep-th.graph_0,33.8,3940
LS2_hep-th.graph_10,33.87,3942
LS2_hep-th.graph_20,33.98,3940
LS2_hep-th.graph_30,33.7,3941
LS2_hep-th.graph_40,35.54,3938
LS2_hep-th.graph_50,33.72,3940
LS2_hep-th.graph_60,34.13,3940
LS2_hep-th.graph_70,33.83,3939
LS2_hep-th.graph_80,34.04,3940
LS2_hep-th.graph_90,33.75,3941
LS2_star.graph_0,100.1,7126
LS2_star.graph_10,97.6,7100
LS2_star.graph_20,98.67,7114
LS2_star.graph_30,98.1,7133
LS2_star.graph_40,98.28,7108
LS2_star.graph_50,98.51,7102
LS2_star.graph_60,97.99,7117
LS2_star.graph_70,97.5,7114
LS2_star.graph_80,98.72,7113
LS2_star.graph_90,98.48,7114
LS2_star2.graph_0,53.85,4651
LS2_star2.graph_10,54.27,4650
LS2_star2.graph_20,53.76,4651
LS2_star2.graph_30,53.65,4650
LS2_star2.graph_40,53.45,4650
LS2_star2.graph_50,53.12,4647
LS2_star2.graph_60,53.54,4648
LS2_star2.graph_70,54.07,4647
LS2_star2.graph_80,53.94,4646
LS2_star2.graph_90,53.42,4648
LS2_netscience.graph_0,5.787,899
LS2_netscience.graph_10,5.857,899
LS2_netscience.graph_20,5.807,899
LS2_netscience.graph_30,5.81,899
LS2_netscience.graph_40,5.79,899
LS2_netscience.graph_50,5.803,899
LS2_netscience.graph_60,5.825,899
LS2_netscience.graph_70,5.805,899
LS2_netscience.graph_80,5.909,899
LS2_netscience.graph_90,5.813,899
LS2_email.graph_0,5.491,602
LS2_email.graph_10,5.475,602
LS2_email.graph_20,5.555,602
LS2_email.graph_30,5.57,602
LS2_email.graph_40,5.523,602
LS2_email.graph_50,5.554,602
LS2_email.graph_60,5.517,602
LS2_email.graph_70,5.565,602
LS2_email.graph_80,5.456,602
LS2_email.graph_90,5.458,602
LS2_delaunay_n10.graph_0,4.898,730
LS2_delaunay_n10.graph_10,4.975,730
LS2_delaunay_n10.graph_20,5.002,730
LS2_delaunay_n10.graph_30,5.003,730
LS2_delaunay_n10.graph_40,5.001,730
LS2_delaunay_n10.graph_50,5.18,730
LS2_delaunay_n10.graph_60,4.989,730
LS2_delaunay_n10.graph_70,4.973,730
LS2_delaunay_n10.graph_80,4.984,730
LS2_delaunay_n10.graph_90,5.054,730
LS2_power.graph_0,14.78,2247
LS2_power.graph_10,14.89,2247
LS2_power.graph_20,14.82,2248
LS2_power.graph_30,14.86,2250
LS2_power.graph_40,14.8,2247
LS2_power.graph_50,15.07,2248
LS2_power.graph_60,15.04,2248
LS2_power.graph_70,15.26,2249
LS2_power.graph_80,15.36,2249
LS2_power.graph_90,14.96,2247
